epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,6597.69,1.35406,1.08083,1.27843,0.79927,0.7195,0.80355,0.48268,1.1682,1.45585,1.08724,0.00425043,0.00425043,0.00425043
55,6721,1.34057,1.07183,1.27299,0.80283,0.7185,0.80373,0.48295,1.16776,1.4474,1.08662,0.00423629,0.00423629,0.00423629
56,6844.32,1.33991,1.06098,1.27163,0.80209,0.71802,0.80352,0.48295,1.16817,1.45686,1.08677,0.00422214,0.00422214,0.00422214
57,6966.81,1.33752,1.06482,1.27322,0.79724,0.72586,0.80399,0.4835,1.1669,1.46053,1.08591,0.004208,0.004208,0.004208
58,7089.59,1.33467,1.05159,1.26603,0.79474,0.72631,0.80428,0.48327,1.16664,1.44776,1.08587,0.00419386,0.00419386,0.00419386
59,7212.25,1.32915,1.05255,1.26388,0.79735,0.72594,0.804,0.48346,1.16705,1.44729,1.08586,0.00417971,0.00417971,0.00417971
60,7334.98,1.33665,1.04713,1.26576,0.79874,0.72385,0.80473,0.4838,1.16719,1.43485,1.08589,0.00416557,0.00416557,0.00416557
61,7457.77,1.33073,1.04552,1.2632,0.80063,0.72275,0.80466,0.48375,1.166,1.44009,1.08506,0.00415143,0.00415143,0.00415143
62,7580.85,1.33659,1.04845,1.26621,0.80126,0.72405,0.80489,0.48367,1.16563,1.42501,1.08473,0.00413729,0.00413729,0.00413729
63,7703.25,1.32119,1.03409,1.26252,0.80406,0.72164,0.80574,0.48461,1.1653,1.40914,1.0845,0.00412314,0.00412314,0.00412314
64,7825.41,1.32429,1.02483,1.26237,0.80914,0.71777,0.80566,0.48484,1.16469,1.40203,1.0843,0.004109,0.004109,0.004109
65,7948.46,1.32447,1.01869,1.25834,0.81065,0.71788,0.80583,0.48548,1.16457,1.39389,1.08451,0.00409486,0.00409486,0.00409486
66,8071.37,1.31555,1.01612,1.25177,0.80947,0.72026,0.80627,0.48548,1.16475,1.38357,1.08445,0.00408071,0.00408071,0.00408071
67,8194.4,1.32098,1.02068,1.25623,0.80743,0.7211,0.80683,0.48584,1.16483,1.37501,1.0842,0.00406657,0.00406657,0.00406657
68,8316.36,1.30851,1.02473,1.24813,0.80842,0.72237,0.80767,0.48637,1.16419,1.37125,1.08388,0.00405243,0.00405243,0.00405243
69,8438.81,1.30999,1.01948,1.25006,0.80647,0.7247,0.80771,0.48702,1.16498,1.37123,1.08409,0.00403829,0.00403829,0.00403829
70,8560.89,1.3149,1.00911,1.25221,0.80848,0.72345,0.80757,0.48782,1.16464,1.35973,1.08368,0.00402414,0.00402414,0.00402414
71,8681.71,1.3078,1.00611,1.24554,0.80874,0.72165,0.80734,0.48807,1.16443,1.35595,1.08321,0.00401,0.00401,0.00401
72,8802.51,1.31167,1.00643,1.24976,0.80811,0.72033,0.80722,0.48818,1.16447,1.35734,1.0831,0.00399586,0.00399586,0.00399586
73,8920.27,1.30902,1.00397,1.24674,0.80226,0.72582,0.80753,0.48873,1.16428,1.34891,1.08261,0.00398171,0.00398171,0.00398171
74,9039.17,1.30475,0.99478,1.24331,0.80244,0.72758,0.80773,0.4889,1.16401,1.338,1.08234,0.00396757,0.00396757,0.00396757
75,9156.36,1.29948,0.99095,1.24209,0.80206,0.72948,0.80788,0.48876,1.16361,1.32844,1.08177,0.00395343,0.00395343,0.00395343
76,9273.7,1.30424,0.99023,1.24284,0.80267,0.72872,0.80811,0.48895,1.16354,1.32463,1.08151,0.00393929,0.00393929,0.00393929
77,9390.42,1.29954,0.98577,1.23764,0.80316,0.72888,0.80827,0.48942,1.16333,1.31773,1.0813,0.00392514,0.00392514,0.00392514
78,9507.76,1.29957,0.99286,1.23421,0.80328,0.72858,0.80808,0.4895,1.16282,1.30567,1.08106,0.003911,0.003911,0.003911
79,9624.66,1.29854,0.98384,1.23917,0.80138,0.73114,0.80742,0.4898,1.16226,1.29225,1.08078,0.00389686,0.00389686,0.00389686
80,9741.36,1.29369,0.97684,1.23813,0.80328,0.73099,0.80871,0.49016,1.16178,1.28489,1.0806,0.00388271,0.00388271,0.00388271
81,9858.03,1.29329,0.97016,1.23752,0.80385,0.73092,0.80833,0.49052,1.16133,1.2771,1.08037,0.00386857,0.00386857,0.00386857
82,9974.63,1.28304,0.96498,1.22983,0.80641,0.72973,0.80956,0.49141,1.16106,1.26721,1.08036,0.00385443,0.00385443,0.00385443
83,10091.4,1.28687,0.96827,1.23205,0.80519,0.73101,0.80939,0.49159,1.16105,1.2624,1.08066,0.00384029,0.00384029,0.00384029
84,10208.2,1.28686,0.9693,1.23336,0.80662,0.732,0.81014,0.49183,1.16095,1.25128,1.08069,0.00382614,0.00382614,0.00382614
85,10324.8,1.29071,0.9632,1.23512,0.80904,0.72722,0.8103,0.49223,1.1602,1.23862,1.08035,0.003812,0.003812,0.003812
86,10441.8,1.28254,0.9532,1.22675,0.80719,0.7298,0.81067,0.49321,1.15997,1.22693,1.08017,0.00379786,0.00379786,0.00379786
87,10558.5,1.2892,0.95926,1.22719,0.80893,0.72918,0.81098,0.49321,1.15967,1.22041,1.08011,0.00378371,0.00378371,0.00378371
88,10675.9,1.27531,0.94731,1.22183,0.80764,0.72954,0.81139,0.49341,1.15901,1.21197,1.07959,0.00376957,0.00376957,0.00376957
89,10793.3,1.28125,0.95675,1.22921,0.80841,0.72913,0.81164,0.49341,1.15868,1.20882,1.07946,0.00375543,0.00375543,0.00375543
90,10910.4,1.2755,0.94554,1.23027,0.80682,0.73012,0.81123,0.49346,1.15854,1.20038,1.07931,0.00374129,0.00374129,0.00374129
91,11027.3,1.27274,0.95097,1.22288,0.8078,0.731,0.81157,0.49359,1.15819,1.19174,1.07921,0.00372714,0.00372714,0.00372714
92,11144.4,1.27833,0.95164,1.22811,0.8074,0.73296,0.81125,0.49403,1.15822,1.18421,1.07896,0.003713,0.003713,0.003713
93,11261.6,1.26606,0.92834,1.21861,0.80701,0.73313,0.81154,0.49414,1.15773,1.17307,1.07879,0.00369886,0.00369886,0.00369886
94,11378,1.26892,0.94731,1.22149,0.80872,0.7339,0.81207,0.49468,1.15749,1.16465,1.07872,0.00368471,0.00368471,0.00368471
95,11494.9,1.26431,0.93196,1.22041,0.81045,0.73241,0.81233,0.49488,1.15761,1.15997,1.07856,0.00367057,0.00367057,0.00367057
96,11612.2,1.26187,0.93083,1.21948,0.80998,0.73429,0.81276,0.49539,1.15728,1.15428,1.07851,0.00365643,0.00365643,0.00365643
97,11729.6,1.26353,0.92557,1.21544,0.81158,0.73497,0.81296,0.49539,1.15672,1.14968,1.0785,0.00364229,0.00364229,0.00364229
98,11846.4,1.25823,0.93577,1.21534,0.81097,0.73663,0.81272,0.49529,1.15669,1.14552,1.07834,0.00362814,0.00362814,0.00362814
99,11963.2,1.26052,0.91938,1.21063,0.81452,0.73381,0.81316,0.49576,1.15668,1.14055,1.07854,0.003614,0.003614,0.003614
100,12080.5,1.26147,0.91802,1.21063,0.8114,0.73797,0.81351,0.49598,1.1564,1.13845,1.07827,0.00359986,0.00359986,0.00359986
101,12198.2,1.24921,0.91425,1.21344,0.80994,0.74016,0.81403,0.49621,1.15656,1.13241,1.07812,0.00358571,0.00358571,0.00358571
102,12316,1.26517,0.92259,1.21364,0.81073,0.73953,0.81395,0.49647,1.1564,1.12291,1.07806,0.00357157,0.00357157,0.00357157
103,12432.5,1.25753,0.91681,1.20958,0.80855,0.74223,0.81454,0.49707,1.15594,1.11771,1.0778,0.00355743,0.00355743,0.00355743
104,12549.7,1.25147,0.91505,1.20787,0.80574,0.7428,0.81449,0.497,1.15543,1.10975,1.07743,0.00354329,0.00354329,0.00354329
105,12667.4,1.24734,0.90534,1.20397,0.80474,0.74314,0.81439,0.49719,1.15528,1.10489,1.07751,0.00352914,0.00352914,0.00352914
106,12784.7,1.24515,0.9047,1.20694,0.80686,0.74244,0.81486,0.49728,1.15548,1.09944,1.0777,0.003515,0.003515,0.003515
107,12901.7,1.24542,0.90382,1.20486,0.80634,0.74358,0.81556,0.4972,1.15582,1.09612,1.07773,0.00350086,0.00350086,0.00350086
108,13018.6,1.24327,0.9034,1.20571,0.80946,0.74357,0.8156,0.49782,1.15567,1.08911,1.07765,0.00348671,0.00348671,0.00348671
109,13135.6,1.24043,0.90007,1.20245,0.80837,0.74358,0.81498,0.498,1.15546,1.08713,1.07728,0.00347257,0.00347257,0.00347257
