epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,8133.85,1.32329,1.02198,1.25958,0.80601,0.73527,0.81238,0.49498,1.17285,1.17977,1.11298,0.00403829,0.00403829,0.00403829
70,8250.91,1.31375,1.01895,1.25321,0.80722,0.73401,0.81206,0.49504,1.17242,1.17432,1.11258,0.00402414,0.00402414,0.00402414
71,8368.23,1.31614,1.00816,1.25418,0.80849,0.7338,0.81253,0.49528,1.17197,1.16884,1.11239,0.00401,0.00401,0.00401
72,8485.6,1.31447,1.00329,1.25051,0.81016,0.73367,0.81265,0.49528,1.17158,1.16555,1.11199,0.00399586,0.00399586,0.00399586
73,8603.1,1.31069,1.00327,1.25395,0.81168,0.73292,0.813,0.49541,1.1712,1.16043,1.11168,0.00398171,0.00398171,0.00398171
74,8720.31,1.31283,1.00604,1.24999,0.8122,0.73188,0.81357,0.49555,1.17087,1.1569,1.11151,0.00396757,0.00396757,0.00396757
75,8837.63,1.30618,0.99867,1.24986,0.81142,0.73117,0.81275,0.49582,1.17055,1.15359,1.1114,0.00395343,0.00395343,0.00395343
76,8954.86,1.31515,1.00109,1.25234,0.81126,0.73307,0.81383,0.49606,1.17082,1.15328,1.11164,0.00393929,0.00393929,0.00393929
77,9072.94,1.30479,0.99159,1.24301,0.81035,0.7339,0.8134,0.49646,1.17046,1.15474,1.11158,0.00392514,0.00392514,0.00392514
78,9190.45,1.30107,0.9963,1.24459,0.80749,0.73547,0.81393,0.4967,1.16999,1.1523,1.11121,0.003911,0.003911,0.003911
79,9307.73,1.30157,0.98625,1.24546,0.80951,0.73501,0.81415,0.49724,1.16889,1.14831,1.11074,0.00389686,0.00389686,0.00389686
80,9425.23,1.30318,0.98508,1.24738,0.80978,0.7335,0.81443,0.49726,1.1685,1.1464,1.1103,0.00388271,0.00388271,0.00388271
